"Year","Troll_composite_cpue","JLL_old_cpue","JLL_modern_cpue","CT_old_cpue","CT_modern_cpue","catch_tonnes"
1930,NA,NA,NA,NA,NA,11300
1931,1.47,NA,NA,NA,NA,15600
1932,1.15,NA,NA,NA,NA,12900
1933,0.943,NA,NA,NA,NA,11500
1934,NA,NA,NA,NA,NA,18900
1935,NA,NA,NA,NA,NA,20800
1936,NA,NA,NA,NA,NA,16800
1937,NA,NA,NA,NA,NA,13500
1938,NA,NA,NA,NA,NA,14600
1939,NA,NA,NA,NA,NA,17100
1940,1.13,NA,NA,NA,NA,11500
1941,1.66,NA,NA,NA,NA,13200
1942,2,NA,NA,NA,NA,16800
1943,NA,NA,NA,NA,NA,16800
1944,NA,NA,NA,NA,NA,17000
1945,1.7,NA,NA,NA,NA,27600
1946,1.3,NA,NA,NA,NA,23300
1947,1.01,NA,NA,NA,NA,20300
1948,1.49,NA,NA,NA,NA,24100
1949,1.02,NA,NA,NA,NA,27900
1950,1.09,NA,NA,NA,NA,39600
1951,1.1,NA,NA,NA,NA,34100
1952,NA,NA,NA,NA,NA,32400
1953,NA,NA,NA,NA,NA,30100
1954,NA,NA,NA,NA,NA,40000
1955,NA,NA,NA,NA,NA,31400
1956,NA,NA,NA,NA,NA,40900
1957,1.55,NA,NA,NA,NA,42100
1958,1.29,NA,NA,NA,NA,52400
1959,1.28,1.67,NA,NA,NA,49900
1960,1.57,1.42,NA,NA,NA,52900
1961,1.39,1.17,NA,NA,NA,42700
1962,1.51,1.73,NA,NA,NA,58800
1963,1.05,0.912,NA,NA,NA,60300
1964,1.26,0.907,NA,NA,NA,64600
1965,1.47,0.671,NA,NA,NA,60400
1966,0.882,0.63,NA,NA,NA,45700
1967,1.15,0.664,NA,0.843,NA,55100
1968,0.902,0.678,NA,1.46,NA,43300
1969,0.81,0.556,NA,1.26,NA,39800
1970,1.11,NA,NA,1.12,NA,40900
1971,1.42,NA,NA,0.802,NA,49100
1972,1.37,NA,NA,0.845,NA,40600
1973,1.42,NA,NA,1.05,NA,38500
1974,1.22,NA,NA,0.954,NA,46500
1975,0.681,NA,2.83,0.809,NA,38800
1976,2.3,NA,2.38,1.12,NA,50500
1977,0.993,NA,1.56,1.09,NA,47800
1978,0.935,NA,1.31,1.04,NA,46300
1979,1.5,NA,1.6,1.02,NA,48000
1980,1.25,NA,1.53,1.06,NA,37600
1981,0.975,NA,1.59,1.04,NA,33900
1982,0.434,NA,1.42,1.14,NA,41700
1983,0.356,NA,1.29,1.14,NA,51500
1984,0.611,NA,1.12,0.993,NA,41100
1985,0.39,NA,1.24,0.858,NA,40000
1986,0.537,NA,0.71,0.704,NA,46900
1987,0.446,NA,0.51,0.665,NA,38300
1988,0.545,NA,0.84,NA,NA,33300
1989,0.433,NA,0.79,NA,NA,32200
1990,0.439,NA,0.61,NA,NA,38400
1991,0.973,NA,0.72,NA,NA,28400
1992,0.786,NA,0.57,NA,NA,31200
1993,0.636,NA,0.55,NA,NA,38500
1994,0.564,NA,0.74,NA,NA,35800
1995,0.853,NA,0.48,NA,NA,38600
1996,0.665,NA,0.42,NA,NA,29500
1997,0.789,NA,0.58,NA,NA,29800
1998,0.581,NA,0.92,NA,NA,26700
1999,0.663,NA,0.53,NA,0.734,35100
2000,0.396,NA,0.87,NA,0.706,34000
2001,0.456,NA,1.2,NA,0.758,26900
2002,0.347,NA,1.27,NA,0.793,23300
2003,0.444,NA,0.9,NA,1.43,26600
2004,0.572,NA,0.67,NA,1.08,27000
2005,0.766,NA,0.92,NA,1.26,36000
2006,1.23,NA,0.79,NA,1.35,37700
2007,1.15,NA,0.47,NA,0.924,22600
2008,1.05,NA,0.49,NA,0.827,20700
2009,1.2,NA,0.73,NA,0.827,15900
2010,0.589,NA,1.11,NA,1.13,19600
2011,0.733,NA,0.74,NA,1.18,20500
