"year","catch","cpue"
1936,110.5409646,NA
1937,256.0632472,NA
1938,271.4550271,NA
1939,265.8580162,NA
1940,349.8131793,NA
1941,309.2348505,NA
1942,209.8879076,NA
1943,307.8355977,NA
1944,365.2049591,NA
1945,321.8281249,NA
1946,321.8281249,NA
1947,242.07072,NA
1948,316.2311141,NA
1949,412.7795515,NA
1950,740.2046873,NA
1951,810.1673232,NA
1952,605.8764265,NA
1953,724.8129074,NA
1954,1162.779008,NA
1955,1066.23057,NA
1956,1312.499049,NA
1957,1397.853464,NA
1958,1604.942866,NA
1959,1488.804891,NA
1960,1536.379483,NA
1961,1280.316236,NA
1962,1502.797418,NA
1963,1358.674388,NA
1964,1560.16678,NA
1965,1381.062432,NA
1966,1357.275136,NA
1967,1120.801426,NA
1968,1049.439538,NA
1969,1148.786481,NA
1970,1367.069905,NA
1971,1757.461413,NA
1972,1320.894565,NA
1973,1203.357337,NA
1974,1070.428329,NA
1975,776.585258,NA
1976,860.540421,NA
1977,829.7568612,NA
1978,763.9919835,NA
1979,901.1187498,NA
1980,1104.010394,NA
1981,804.5703123,NA
1982,794.7755433,NA
1983,527,NA
1984,605,NA
1985,517,NA
1986,574,NA
1987,506,NA
1988,500,NA
1989,446,0.58494121
1990,422,0.6089679
1991,434,0.63799162
1992,441,0.68086337
1993,501,0.73350321
1994,475,0.75459659
1995,580,0.78403409
1996,686,0.78248802
1997,730,0.84452048
1998,911,0.88779698
1999,841,1.1402802
2000,950,1.4287982
2001,956,1.2980573
2002,852,1.2821689
2003,950,1.2203922
2004,984,0.91814191
2005,972,1.1148011
2006,1023,1.3978261
2007,960,1.7586756
2008,1092,1.6038473
2009,1063,1.2670828
2010,1089,1.5001338
2011,1122,NA
2012,1074,NA
