"year","catch","survey","cpue"
1973,250,NA,NA
1974,382,NA,NA
1975,9392,NA,NA
1976,19536,NA,NA
1977,26049,NA,NA
1978,8977,NA,NA
1979,3201,NA,NA
1980,1700,NA,NA
1981,833,NA,NA
1982,1522,NA,NA
1983,1536,NA,NA
1984,1772,NA,NA
1985,1752,NA,NA
1986,1869,NA,NA
1987,1619,NA,NA
1988,1926,NA,NA
1989,1885,NA,NA
1990,2463,NA,NA
1991,4791,NA,1.66
1992,7146,8930,2.15
1993,6346,9360,1.54
1994,6092,10129,1.54
1995,7752,7363,1.48
1996,7588,8424,1.19
1997,7050,8543,0.82
1998,7934,7313,0.89
1999,7100,10309,0.78
2000,6518,8348,0.92
2001,6191,9352,0.91
2002,5766,9442,0.74
2003,5525,7261,0.9
2004,4607,8248,0.74
2005,4353,8929,0.84
2006,3479,9301,0.71
2007,4202,7800,0.78
2008,4160,7503,0.99
2009,3751,10600,0.71
2010,3741,8820,0.88
2011,3700,7027,NA
