"year","catch","survey1","survey2","survey3","survey4","cpue1","cpue2","cpue3","cpue4","cpue5"
1980,36530,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,20930,NA,NA,NA,NA,18.9,NA,NA,NA,NA
1982,22620,NA,NA,NA,NA,17.1,NA,NA,NA,NA
1983,6760,NA,NA,NA,NA,17.8,NA,1.55,NA,NA
1984,21450,130000,NA,NA,NA,18,NA,1.32,NA,NA
1985,25350,111000,NA,NA,NA,20.9,NA,1.3,NA,NA
1986,27008,77000,NA,NA,NA,14.4,NA,0.99,NA,NA
1987,28476,60000,NA,NA,NA,13.7,NA,0.69,NA,NA
1988,19592,73000,NA,NA,NA,14.4,NA,0.63,NA,NA
1989,24156,54000,NA,NA,NA,NA,NA,NA,NA,NA
1990,20760,34000,NA,NA,NA,5.9,NA,NA,NA,NA
1991,14030,NA,NA,NA,NA,8.6,NA,NA,5.75,NA
1992,14300,22000,NA,NA,NA,6.8,NA,NA,2.92,6.03
1993,5280,NA,NA,NA,NA,NA,NA,NA,3.17,4.81
1994,5390,61000,NA,NA,NA,NA,NA,NA,2.48,3.27
1995,4200,NA,NA,NA,NA,NA,NA,NA,1.43,1.4
1996,3990,NA,NA,NA,NA,NA,NA,NA,1.33,0.82
1997,3780,NA,NA,NA,NA,NA,NA,NA,1.15,0.88
1998,4830,NA,60800,NA,NA,NA,NA,NA,0.52,0.7
1999,3780,NA,NA,NA,NA,NA,NA,NA,0.8,0.89
2000,4830,NA,NA,40900,NA,NA,4.9,NA,0.86,1.05
2001,3675,NA,NA,NA,NA,NA,3.2,NA,1,0.63
2002,7035,NA,NA,NA,63950,NA,2.6,NA,0.75,0.77
2003,7455,NA,NA,9766,44316,NA,2.2,NA,0.56,0.6
2004,7245,NA,49200,655,44968,NA,2.7,NA,0.52,0.42
2005,7455,NA,NA,NA,43923,NA,2.2,NA,0.54,0.5
2006,8190,NA,NA,NA,47450,NA,NA,NA,NA,NA
2007,8295,NA,NA,NA,4427,NA,NA,NA,NA,NA
2008,6825,NA,NA,NA,31668,NA,NA,NA,NA,NA
2009,5827.5,NA,NA,NA,28199,NA,NA,NA,NA,NA
2010,4599,NA,NA,NA,21205,NA,NA,NA,NA,NA
2011,2730,NA,NA,NA,44651,NA,NA,NA,NA,NA
2012,2730,NA,NA,NA,41639,NA,NA,NA,NA,NA
